concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path,amount,unit,is_main,description,step_number,methods,tools,time_estimate
201000001,Recipe,皮蛋豆腐,皮蛋豆腐 (Recipe),皮蛋豆腐,"[{'term': '皮蛋嫩豆腐', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '皮蛋tofu', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '皮蛋老豆腐', 'language': 'zh', 'language_code': 'zh-CN'}]",素菜,1.0,,5分钟,0分钟,1,"豆腐焯水去豆腥味,皮蛋切瓣时刀抹香油防粘",dishes/vegetable_dish/皮蛋豆腐.md,,,,,,,,
201000002,Ingredient,皮蛋,皮蛋 (Ingredient),皮蛋,[],蛋白质,,,,,,,,2,个,True,,,,,
201000003,Ingredient,内酯豆腐,内酯豆腐 (Ingredient),内酯豆腐,[],蛋白质,,,,,,,,1,盒,True,,,,,
201000004,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,15,ml,False,,,,,
201000005,Ingredient,白砂糖,白砂糖 (Ingredient),白砂糖,[],调料,,,,,,,,2.5,g,False,,,,,
201000006,Ingredient,醋,醋 (Ingredient),醋,[],调料,,,,,,,,15,ml,False,,,,,
201000007,Ingredient,香油,香油 (Ingredient),香油,[],调料,,,,,,,,15,ml,False,,,,,
201000008,Ingredient,辣椒油,辣椒油 (Ingredient),辣椒油,[],调料,,,,,,,,10,ml,False,,,,,
201000009,Ingredient,花生碎,花生碎 (Ingredient),花生碎,[],其他,,,,,,,,10,g,False,,,,,
201000010,Ingredient,葱花,葱花 (Ingredient),葱花,[],蔬菜,,,,,,,,15,g,False,,,,,
201000011,Ingredient,香菜,香菜 (Ingredient),香菜,"[{'term': '芫荽', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '胡荽', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,1,株,False,,,,,
201000012,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,先把皮蛋剥壳，切成四瓣。,1.0,切,"刀,案板",
201000013,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,嫩豆腐切块或者切片放中间。,2.0,切,"刀,案板",
201000014,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,将生抽、白砂糖、醋、香油、辣椒油调成酱汁，淋上去。,3.0,调,"碗,勺",
201000015,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,最后可选撒上花生碎、葱花、香菜。,4.0,撒,勺,
201000016,Recipe,葱煎豆腐,葱煎豆腐 (Recipe),葱煎豆腐,"[{'term': '葱煎老豆腐', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '葱煎tofu', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '葱煎嫩豆腐', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '葱pan-fried豆腐', 'language': 'en', 'language_code': 'en-US'}]",素菜,3.0,,10分钟,15分钟,1,,dishes/vegetable_dish/葱煎豆腐.md,,,,,,,,
201000017,Ingredient,白豆腐,白豆腐 (Ingredient),白豆腐,[],蛋白质,,,,,,,,0.8,块,True,,,,,
201000018,Ingredient,青辣椒,青辣椒 (Ingredient),青辣椒,[],蔬菜,,,,,,,,0.5,只,False,,,,,
201000019,Ingredient,葱,葱 (Ingredient),葱,[],蔬菜,,,,,,,,0.67,根,False,,,,,
201000020,Ingredient,盐,盐 (Ingredient),盐,[],调料,,,,,,,,3,g,False,,,,,
201000021,Ingredient,鸡精,鸡精 (Ingredient),鸡精,[],调料,,,,,,,,1.5,g,False,,,,,
201000022,Ingredient,油,油 (Ingredient),油,[],调料,,,,,,,,9,ml,False,,,,,
201000023,Ingredient,水,水 (Ingredient),水,[],其他,,,,,,,,10,ml,False,,,,,
